04261494831	A	5	5	1	5	1	2	2	3	4	4
06210361443	E	1	6	2	2	4	6	6	5	5	6
04232731387	A	2	3	3	1	5	5	5	1	3	2
06293096496	E	3	4	5	6	2	4	2	3	2	4
04270167119	D	1	4	6	6	4	4	2	4	1	4
04322473474	A	1	5	2	2	4	6	2	2	1	6
04252416684	E	3	1	5	2	3	3	2	3	4	6
05302267315	C	6	5	3	6	1	3	1	4	4	1
04280322513	D	1	4	5	5	2	1	3	1	2	5
05222137288	D	2	5	6	4	2	4	2	2	3	5
04221929782	B	2	4	5	2	3	3	6	1	6	6
04292225228	A	6	6	2	1	5	5	5	1	3	5
04252631931	D	4	1	5	5	3	2	4	1	3	5
05231399697	E	6	2	4	1	1	1	3	3	5	1
04281594243	A	4	1	3	3	5	1	5	1	4	2
06300617539	C	3	6	4	5	3	6	1	3	3	6
06273055125	C	4	3	3	3	2	5	4	2	4	4
04222417651	A	5	5	6	1	6	4	3	5	2	6
06311949197	E	1	2	1	1	6	5	4	2	2	3
05251786394	C	1	4	1	5	4	5	6	1	3	5
04232094716	D	4	4	4	2	3	1	2	2	1	1
04231569817	D	1	1	6	3	1	4	2	2	4	5
04312243319	C	3	6	3	5	2	1	3	2	2	3
05300439482	E	3	3	1	6	3	3	1	1	1	4
06240646354	C	2	5	5	6	3	3	5	4	5	1
05302127972	C	5	4	2	3	2	3	3	3	2	2
05310447569	D	2	1	5	5	1	5	2	2	5	1
05241456775	B	6	6	1	5	4	5	3	6	4	5
06300453236	A	5	4	3	5	3	4	6	3	3	4
06283154818	E	2	4	5	2	3	6	1	2	6	5
04242624855	A	6	4	1	4	2	2	6	5	3	3
04231771984	D	6	5	1	6	3	1	3	2	2	2
05261914679	E	3	3	1	2	4	3	1	4	5	2
06280292979	C	5	4	1	3	2	3	3	3	2	4
06302568826	E	5	4	6	4	6	4	3	2	4	5
05250172167	D	6	5	6	6	5	4	3	3	4	4
04282213215	D	4	1	2	5	4	6	3	5	1	4
