04312922526	E	4	4	3	1	5	5	1	4	6	6
05232284325	C	5	1	2	6	5	2	2	2	1	1
04281615889	D	1	5	6	4	4	2	3	2	6	4
04290368819	E	6	5	5	3	4	1	5	1	5	6
05230698896	A	4	3	2	4	3	2	4	3	1	5
05242484641	D	2	5	6	1	1	6	2	3	5	2
04251849814	C	4	2	5	6	4	5	3	3	4	1
04310185523	A	4	2	1	3	5	2	4	2	4	4
04311769416	D	4	3	3	3	3	4	2	6	4	2
04300396117	A	4	6	1	5	3	5	5	1	5	6
04240164618	E	1	5	6	3	2	2	4	3	6	2
06310479376	A	3	6	6	3	6	5	3	2	2	4
06231915339	A	4	5	1	3	6	3	4	2	6	5
06271544999	D	4	5	6	4	6	1	5	6	2	5
04270797486	A	2	6	2	2	2	5	2	3	1	2
06322519732	E	2	3	6	1	2	3	1	2	1	2
04240963699	D	1	1	6	1	1	2	2	5	5	5
04300538498	E	5	1	1	6	1	3	3	6	1	5
04240995881	B	3	6	6	3	6	2	6	2	1	3
04310884835	E	6	6	1	4	3	2	6	1	2	2
04240397782	A	6	4	4	2	1	4	3	3	2	2
04250837711	C	3	4	1	2	3	5	6	3	6	5
04302556186	D	1	3	4	5	5	5	1	2	2	6
04302326282	B	2	1	2	1	3	3	5	2	6	4
06210689622	E	3	5	4	2	1	4	1	3	6	5
05301425316	E	4	3	5	2	2	1	4	3	6	3
05220459876	E	4	4	4	3	4	3	5	2	6	4
04302835623	D	5	2	5	5	3	4	1	1	1	6
04240237145	E	6	6	6	6	3	2	3	4	2	6
06312445166	E	4	2	2	1	3	5	5	6	3	4
06270927933	A	6	3	4	5	5	1	1	4	3	2
05250923831	C	3	5	2	4	4	3	3	1	6	1
05312642818	A	4	2	6	5	1	2	3	3	4	1
05242766976	B	4	2	2	2	4	4	3	3	6	6
06292552311	A	3	4	6	6	5	5	2	2	1	5
05210895185	C	6	2	5	3	5	5	3	4	5	5
05281764986	D	1	6	3	6	5	5	5	3	5	6
06310789547	A	3	1	2	2	1	3	1	6	2	5
06242265137	B	2	2	5	5	2	3	4	4	1	2
04282134482	E	3	3	3	1	2	1	6	4	3	5
05300568968	E	4	1	6	3	4	1	6	3	3	3
06293068154	A	1	6	2	3	4	1	1	4	2	4
04300461851	B	5	5	3	1	4	1	3	4	5	4
04272554645	E	1	3	5	5	2	5	1	4	4	1
06211155456	B	1	6	6	2	2	2	1	1	1	6
04310594295	A	3	3	2	4	4	3	5	6	1	2
06320678134	B	6	5	5	2	6	6	3	2	2	5
05250189372	D	3	2	6	5	5	3	5	5	2	3
06300679164	E	1	5	4	2	5	2	6	2	4	1
05291752913	E	1	1	2	5	4	3	3	5	2	5
